step,C_memless,C_memful,D_memless,D_memful,M_local,mu_purity
0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
1.000000000000000000e+00,1.118014222725137452e-01,1.118014222725137730e-01,1.116828431372284269e-01,1.116828431372284269e-01,4.259394650659996118e-01,9.773219465124107774e-01
2.000000000000000000e+00,2.236028445450274904e-01,2.211696043962595171e-01,2.192816801071958421e-01,2.153710639690237794e-01,4.757013046292105779e-02,9.567010694647656299e-01
3.000000000000000000e+00,3.354042668175412079e-01,3.282694268343410160e-01,3.216740160469932497e-01,3.088324726551608945e-01,4.536125078608058830e-02,9.379507578277100910e-01
4.000000000000000000e+00,4.472056890900549808e-01,4.332641388393519422e-01,4.178241726749073459e-01,3.902040487137465319e-01,4.325493861072223639e-02,9.209013284715107384e-01
5.000000000000000000e+00,5.590071113625687538e-01,5.363073665602636764e-01,5.067954365107139036e-01,4.580258089819035927e-01,4.124643129971793110e-02,9.053984905988011755e-01
6.000000000000000000e+00,6.708085336350825267e-01,6.375434880574432084e-01,5.877606892977351727e-01,5.112633759681067813e-01,3.933118736505687718e-02,8.913019494720368918e-01
7.000000000000000000e+00,7.826099559075962997e-01,7.371079600357220984e-01,6.600115054079993548e-01,5.493196652192635643e-01,3.750487619896926417e-02,8.784841367999197681e-01
8.000000000000000000e+00,8.944113781801100727e-01,8.351276702072397695e-01,7.229657270620613030e-01,5.720366108885697187e-01,3.576336828187625522e-02,8.668290562932842169e-01
9.000000000000000000e+00,1.006212800452623846e+00,9.317213221882733043e-01,7.761735604555353163e-01,5.796884952244578670e-01,3.410272584502658383e-02,8.562312339431610297e-01
1.000000000000000000e+01,1.118014222725137508e+00,1.026999742791592896e+00,8.193222758011311502e-01,5.729693791574212991e-01,3.251919396670494705e-02,8.465947635214419176e-01
1.100000000000000000e+01,1.229815644997651169e+00,1.121066276268146034e+00,8.522396443852707781e-01,5.529786383034061004e-01,3.100919208188148216e-02,8.378324386662885370e-01
1.200000000000000000e+01,1.341617067270164831e+00,1.214017141504093900e+00,8.748963100625593015e-01,5.212113043245645283e-01,2.956930588610269528e-02,8.298649636979877897e-01
1.300000000000000000e+01,1.453418489542678493e+00,1.305941791896603643e+00,8.874073774813493465e-01,4.795650951763306691e-01,2.819627961531945282e-02,8.226202360234364797e-01
1.400000000000000000e+01,1.565219911815192155e+00,1.396923268865214007e+00,8.900336143228095853e-01,4.303863795011891313e-01,2.688700868419384785e-02,8.160326936352749749e-01
1.500000000000000000e+01,1.677021334087705817e+00,1.487038562489728433e+00,8.831828240882513281e-01,3.765977188942305487e-01,2.563853266624053356e-02,8.100427218007695274e-01
1.600000000000000000e+01,1.788822756360219479e+00,1.576358956021068014e+00,8.674121695241132635e-01,3.219836394135764390e-01,2.444802859992914121e-02,8.045961135711495738e-01
