Gamma_x,Gamma_y,Gamma_z,mkc_gap
1.356900415273627925e+00,9.268795300553661631e-01,8.083037556428048775e-01,1.891414352122715581e-01
1.328319044743877519e+00,1.190004036345484240e+00,2.848735078213045502e-01,7.327924971145560740e-02
1.330598787121644699e+00,1.261748874157327283e+00,3.122256496420540151e-01,1.216878683388684657e-01
1.101244448818342159e+00,1.394597392935588598e+00,1.229416991170361406e+00,4.680320235265575946e-01
5.594011908085781970e-01,1.008940789445155417e+00,1.168256051202397172e+00,2.000429645256682765e-01
1.451981761199347298e+00,1.588489413265096628e+00,1.771744207183511666e+00,6.343634836404663524e-01
1.854787133474104843e+00,2.165274087309677853e+00,1.664341577614033785e+00,6.769273118892300545e-01
1.283331869354793930e+00,8.782356235739818828e-01,9.595581960665162669e-01,2.772309751428521096e-01
1.039199981315283905e+00,7.627482606045130620e-01,1.176049384451010038e+00,3.129494287343934644e-01
1.235468138761508294e+00,1.159916331807347989e+00,2.016662033320241854e+00,1.893612186243069928e-01
4.979037927119781548e-01,7.182206371892756458e-01,9.432929951554914760e-01,1.364157173728811623e-01
7.500623907315181471e-01,1.290617305526455372e+00,1.618035880345915167e+00,2.113219079560291203e-01
1.360230643512409410e+00,1.906760385718341722e+00,1.095670926674180645e+00,2.745705922341239447e-01
3.512586241848316693e-01,5.647839654325070846e-01,3.702586159633099450e-01,7.836663735781723705e-02
1.675049302688932373e+00,1.532183366675392122e+00,1.025001003126623900e+00,4.410675335565417132e-01
4.931895359743339591e-01,9.085164324472028152e-01,1.282550829395341818e+00,5.957756951309756133e-02
1.769136152302111853e+00,7.986660218378720533e-01,1.421261100787795550e+00,2.253954851617776534e-01
1.829132748046956858e-01,9.211046265083242535e-01,9.450212541558927759e-01,7.949832357856367882e-02
1.120046353290850005e+00,1.419335825593558420e+00,1.743175574649824533e+00,3.981033021172919462e-01
3.838119524105360614e-01,6.484536376922989120e-01,5.516721155309399771e-01,1.435152151245886465e-01
1.594296532868098026e+00,6.494315934152876668e-01,1.081904708772042589e+00,6.851988465961600383e-02
1.164483656615654894e+00,4.545126653644675496e-01,1.085081756506977912e+00,1.875553826278952840e-01
1.813213836515770838e+00,1.190906464792091723e+00,8.459623172680891257e-01,1.118274727722050610e-01
1.234554967679211579e+00,3.318515766111305165e-01,1.045212105480591402e+00,7.125435720625517000e-02
4.406870390909848334e-01,5.276167268324143400e-01,2.086016104553598260e-01,6.083596135696511809e-02
1.641474776736667529e+00,1.912836816586277022e+00,1.495537206188440660e+00,6.120875831694159164e-01
7.450553748377031216e-01,6.314085002362512800e-01,6.975770987713094673e-01,2.919651120849289239e-01
1.566762917789214837e+00,1.610025283278042174e+00,2.306396273080156156e+00,4.351959639935505386e-01
1.310561113370745545e+00,1.451712088241380094e+00,9.503725134635732097e-01,4.046107692964693303e-01
6.269127638501015287e-01,5.950988004250519214e-01,2.046443613484509316e-01,8.641519896170068993e-02
1.920957210684759442e+00,1.224805331203650649e+00,1.344770078065737451e+00,3.243090992923143290e-01
1.650355360358172430e+00,1.516164783481141587e+00,1.480432616330290552e+00,6.731210197266297435e-01
1.329595814247962249e+00,1.159716396735847033e+00,2.061926607796269018e+00,2.136928015937700209e-01
7.606327659017403375e-01,1.320342874874890882e+00,9.729118569961344720e-01,2.066008740114919640e-01
1.998554099460382982e+00,1.872795013587983615e+00,2.029939795479458020e+00,9.207046587844542884e-01
6.860639342721545075e-01,3.102194423436222537e-01,5.379915253978296841e-01,8.107351673464868735e-02
5.304625685527635248e-01,1.522015639355506211e+00,1.405668700504429269e+00,2.070578148508432914e-01
1.160275079144925225e+00,1.504021370594518459e+00,5.650034421989094113e-01,1.106285753746580891e-01
8.432994852983253242e-01,1.396170776307782413e+00,1.003487207712991269e+00,2.253079583517669793e-01
1.057465897930529808e+00,4.399862646096016627e-01,8.799934733540297760e-01,1.312569200165507599e-01
8.577801465243833912e-01,7.689258043625762928e-01,2.584966664080468046e-01,8.482116212311985315e-02
1.203173568966529272e+00,1.565302327002352056e+00,1.195666259387159869e+00,4.167687506756685423e-01
5.972083749077758963e-01,8.540406029250966480e-01,6.399611237706607225e-01,1.915644478766700409e-01
1.272827081770507185e+00,6.726771759693479513e-01,1.597172190710020478e+00,1.741660335149173289e-01
1.848877986028184983e+00,1.297485747683012169e+00,8.312924644612009750e-01,1.399501130580140806e-01
9.697139731390669315e-01,1.209846812566839569e+00,1.944699053487986440e+00,1.174308661089602523e-01
1.039673772894379677e+00,1.182384729696908332e+00,1.808140347529134218e+00,2.069590775310770070e-01
1.067390399970453041e+00,1.549510841921944326e+00,6.765490024320102158e-01,9.721428024025935422e-02
1.895450739024346909e+00,1.795697835057813663e+00,1.846984287843349559e+00,8.736156919384079345e-01
1.285136946080144282e+00,6.790567385444002957e-01,1.306117786089201704e+00,3.290379492676713813e-01
1.110347248340203929e+00,8.174535637598084881e-01,6.928111933928272625e-01,1.999587544062160216e-01
1.481612495165441912e+00,1.110458017141783493e+00,1.114261860541430282e+00,3.715536912588859320e-01
1.216591670248717172e+00,7.726018678914516880e-01,1.080366769414479622e+00,3.181884835286070690e-01
1.343485201332781376e+00,1.858840311893180219e+00,1.269124758316301671e+00,3.768848238779514137e-01
1.502840405092712661e+00,1.342609890985195564e+00,1.203286829761667232e+00,5.215281578270754004e-01
1.514919712242807526e+00,1.817400395916360267e+00,9.801548274898026492e-01,3.388370719081250648e-01
1.093881730070829228e+00,8.283945377649466479e-01,5.683357362845209426e-01,1.514242719893190703e-01
